stereo_id,cov_affinity_kcal_mol
A230_00_P8R_C5N7E,4.3
A230_01_P8S_C5N7E,0.78
A230_02_P8R_C5N7Z,0.46
A230_03_P8S_C5N7Z,3.09
A232_00_P8R_C5N7E,2.4
A232_01_P8S_C5N7E,0.68
A232_02_P8R_C5N7Z,-0.63
A232_03_P8S_C5N7Z,-0.23
A234_00_P3S_N6C7E,-4.29
A234_01_P3R_N6C7E,1.15
A234_02_P3S_N6C7Z,-3.66
A234_03_P3R_N6C7Z,-0.41
A242_00_P7R,2.73
A242_01_P7S,0.67
BSAR_00_P5S,-1.49
BSAR_01_P5R,-1.31
DDVP_00_achiral,-1.19
DETAB_00_P3R,-1.89
DETAB_01_P3S,-0.25
GA_00_P3R,-1.32
GA_01_P3S,0.45
GB_00_P4S,-0.35
GB_01_P4R,-0.15
GD_00_C1S_P3S,3.59
GD_01_C1R_P3S,2.22
GD_02_C1S_P3R,1.5
GD_03_C1R_P3R,-1.16
GF_00_P1S,-0.21
GF_01_P1R,-1.46
MPXN_00_achiral,-1.19
PXNE_00_achiral,-1.0
VR_00_P8S,0.44
VR_01_P8R,-1.29
VX_00_P3S,-0.04
VX_01_P3R,0.65
