stereo_id,code,cls,role,E_sp_Eh,HOMO_eV,LUMO_eV,gap_eV,dipole_D,qP_mulliken,qP_loewdin
GB_00_P4S,GB,G,anchor,-750.305450978486,-10.8974,3.1173,14.0147,4.104590543,0.872905,0.279846
GB_01_P4R,GB,G,anchor,-750.30548932611,-10.904,3.1144,14.0184,4.123440256,0.870564,0.278688
GD_00_C1S_P3S,GD,G,anchor,-868.260915845281,-10.6997,2.896,13.5957,4.197010534,0.860043,0.281204
GD_01_C1R_P3S,GD,G,anchor,-868.260643870428,-10.67,2.902,13.572,4.203483595,0.865454,0.280933
GD_02_C1S_P3R,GD,G,anchor,-868.259890867486,-10.6843,2.928,13.6123,4.453953044,0.868155,0.28275
GD_03_C1R_P3R,GD,G,anchor,-868.260969019031,-10.7137,2.8988,13.6125,4.206619793,0.861912,0.281539
GA_00_P3R,GA,G,anchor,-798.592909569911,-9.6686,1.5324,11.201,5.809863237,0.800867,0.300112
GA_01_P3S,GA,G,anchor,-798.592994036381,-9.6817,1.5157,11.1974,5.704583013,0.802126,0.299926
VX_00_P3S,VX,V,anchor,-1379.773929817513,-7.9271,2.2712,10.1983,4.722262681,0.697986,0.204787
VX_01_P3R,VX,V,anchor,-1379.769980151594,-7.9214,2.2724,10.1938,3.839271251,0.71597,0.190748
PARA_00_achiral,PARA,OP-thion,experiment,-1560.056367694118,-9.4306,-0.6102,8.8204,2.588073797,0.67452,0.049443
PXNE_00_achiral,PXNE,OP-oxon,experiment,-1237.108919182943,-9.5281,-0.5974,8.9307,2.985988549,0.849522,0.182919
CPF_00_achiral,CPF,OP-thion,experiment,-2750.395735694187,-9.0987,0.3052,9.4039,3.375427922,0.732592,0.07694
MLT_00_C6S,MLT,OP-thion,experiment,-1981.865512435562,-9.3297,1.4174,10.7471,6.147672703,0.631513,-0.050735
MLT_01_C6R,MLT,OP-thion,experiment,-1981.866063042999,-9.3965,1.8239,11.2204,7.477548199,0.617405,-0.075993
DDVP_00_achiral,DDVP,OP-oxon,experiment,-1719.472062962668,-9.1433,1.7773,10.9206,3.939004231,0.936323,0.189723
A230_00_P8R_C5N7E,A230,Novichok,target,-902.524969146592,-9.0558,1.7385,10.7943,11.561038707,0.772871,0.278909
A230_01_P8S_C5N7E,A230,Novichok,target,-902.527009077006,-9.023,1.7191,10.7421,8.763346858,0.800534,0.2933
A230_02_P8R_C5N7Z,A230,Novichok,target,-902.518239507669,-9.1581,1.6928,10.8509,9.740039239,0.787477,0.255942
A230_03_P8S_C5N7Z,A230,Novichok,target,-902.514970566144,-9.122,1.6925,10.8145,10.674354393,0.773483,0.256133
A232_00_P8R_C5N7E,A232,Novichok,target,-977.774417443052,-9.1757,1.6591,10.8348,7.834674217,0.894614,0.17518
A232_01_P8S_C5N7E,A232,Novichok,target,-977.774331071349,-9.2118,1.7592,10.971,8.074783728,0.922763,0.175421
A232_02_P8R_C5N7Z,A232,Novichok,target,-977.763892236375,-9.3632,1.4758,10.839,11.064142077,0.8446,0.142424
A232_03_P8S_C5N7Z,A232,Novichok,target,-977.763287458991,-9.3435,1.4567,10.8002,12.801369045,0.834365,0.139103
A234_00_P3S_N6C7E,A234,Novichok,target,-1017.09825907377,-9.1562,1.7105,10.8667,9.172774812,0.870068,0.174023
A234_01_P3R_N6C7E,A234,Novichok,target,-1017.097481700921,-9.2435,1.5828,10.8263,10.602511393,0.868067,0.173963
A234_02_P3S_N6C7Z,A234,Novichok,target,-1017.084019425158,-9.3811,1.4725,10.8536,10.609137435,0.866936,0.148518
A234_03_P3R_N6C7Z,A234,Novichok,target,-1017.090926749824,-9.2873,1.6095,10.8968,9.302026759,0.855088,0.146456
A242_00_P7R,A242,Novichok,target,-1075.829960011295,-8.7103,1.7758,10.4861,8.106705177,0.804542,0.27944
A242_01_P7S,A242,Novichok,target,-1075.827986850073,-8.8207,1.8567,10.6774,8.462062625,0.815305,0.277746
BSAR_00_P5S,BSAR,G,anchor,-789.617510296413,-10.9572,3.0309,13.9881,4.288911679,0.87833,0.279403
BSAR_01_P5R,BSAR,G,anchor,,,,,,,
GF_00_P1S,GF,G,anchor,-867.047086664086,-10.415,3.008,13.423,4.282404886,0.861248,0.279704
GF_01_P1R,GF,G,anchor,,,,,,,
VR_00_P8S,VR,V,anchor,-1379.779827543387,-8.2007,2.2549,10.4556,4.865223138,0.690093,0.201948
VR_01_P8R,VR,V,anchor,,,,,,,
MPXN_00_achiral,MPXN,OP-oxon,experiment,-1158.461556779787,-9.5652,-0.6024,8.9628,7.685305797,0.910319,0.185453
DETAB_00_P3R,DETAB,G,anchor,-877.233629834521,-9.5511,1.4449,10.996,8.838403988,0.789068,0.310311
DETAB_01_P3S,DETAB,G,anchor,,,,,,,
DFP_00_achiral,DFP,OP-oxon,anchor,-904.195999789805,-11.0267,2.9036,13.9303,2.086178349,0.990674,0.148863
METH_00_P2R,METH,OP-thion,experiment,-1025.949644635055,-9.2208,2.2956,11.5164,3.680612212,0.783846,0.100266
METH_01_P2S,METH,OP-thion,experiment,,,,,,,
FEN_00_P3R,FEN,OP-thion,experiment,-1528.856796123994,-8.7261,1.2205,9.9466,5.297539158,0.812877,0.226256
FEN_01_P3S,FEN,OP-thion,experiment,,,,,,,
