stereo_id,code,cls,role,HOMO_eV,LUMO_eV,gap_eV,dipole_D,qP_mulliken,qP_loewdin,dock_affinity,dock_CNNpose,dock_CNNaffinity
GB_00_P4S,GB,G,anchor,-10.8974,3.1173,14.0147,4.104590543,0.872905,0.279846,-3.75,0.81,3.04
GB_01_P4R,GB,G,anchor,-10.904,3.1144,14.0184,4.123440256,0.870564,0.278688,-4.57,0.8743,3.24
GD_00_C1S_P3S,GD,G,anchor,-10.6997,2.896,13.5957,4.197010534,0.860043,0.281204,-6.23,0.8505,3.895
GD_01_C1R_P3S,GD,G,anchor,-10.67,2.902,13.572,4.203483595,0.865454,0.280933,-5.98,0.7992,3.944
GD_02_C1S_P3R,GD,G,anchor,-10.6843,2.928,13.6123,4.453953044,0.868155,0.28275,-5.75,0.8223,4.045
GD_03_C1R_P3R,GD,G,anchor,-10.7137,2.8988,13.6125,4.206619793,0.861912,0.281539,-5.45,0.8171,4.275
GA_00_P3R,GA,G,anchor,-9.6686,1.5324,11.201,5.809863237,0.800867,0.300112,-4.67,0.859,3.525
GA_01_P3S,GA,G,anchor,-9.6817,1.5157,11.1974,5.704583013,0.802126,0.299926,-4.32,0.847,3.525
VX_00_P3S,VX,V,anchor,-7.9271,2.2712,10.1983,4.722262681,0.697986,0.204787,-6.02,0.9366,5.089
VX_01_P3R,VX,V,anchor,-7.9214,2.2724,10.1938,3.839271251,0.71597,0.190748,-5.97,0.9396,4.96
PARA_00_achiral,PARA,OP-thion,experiment,-9.4306,-0.6102,8.8204,2.588073797,0.67452,0.049443,-5.95,0.7943,4.5
PXNE_00_achiral,PXNE,OP-oxon,experiment,-9.5281,-0.5974,8.9307,2.985988549,0.849522,0.182919,-6.3,0.7599,3.987
CPF_00_achiral,CPF,OP-thion,experiment,-9.0987,0.3052,9.4039,3.375427922,0.732592,0.07694,-6.49,0.4344,4.64
MLT_00_C6S,MLT,OP-thion,experiment,-9.3297,1.4174,10.7471,6.147672703,0.631513,-0.050735,-5.95,0.5727,4.03
MLT_01_C6R,MLT,OP-thion,experiment,-9.3965,1.8239,11.2204,7.477548199,0.617405,-0.075993,-6.36,0.8429,4.732
DDVP_00_achiral,DDVP,OP-oxon,experiment,-9.1433,1.7773,10.9206,3.939004231,0.936323,0.189723,-5.35,0.8411,3.709
A230_00_P8R_C5N7E,A230,Novichok,target,-9.0558,1.7385,10.7943,11.561038707,0.772871,0.278909,-5.92,0.9166,4.705
A230_01_P8S_C5N7E,A230,Novichok,target,-9.023,1.7191,10.7421,8.763346858,0.800534,0.2933,-5.4,0.8884,4.729
A230_02_P8R_C5N7Z,A230,Novichok,target,-9.1581,1.6928,10.8509,9.740039239,0.787477,0.255942,-5.93,0.875,4.577
A230_03_P8S_C5N7Z,A230,Novichok,target,-9.122,1.6925,10.8145,10.674354393,0.773483,0.256133,-5.59,0.915,4.214
A232_00_P8R_C5N7E,A232,Novichok,target,-9.1757,1.6591,10.8348,7.834674217,0.894614,0.17518,-5.78,0.9426,4.25
A232_01_P8S_C5N7E,A232,Novichok,target,-9.2118,1.7592,10.971,8.074783728,0.922763,0.175421,-5.98,0.9109,4.753
A232_02_P8R_C5N7Z,A232,Novichok,target,-9.3632,1.4758,10.839,11.064142077,0.8446,0.142424,-6.13,0.925,4.667
A232_03_P8S_C5N7Z,A232,Novichok,target,-9.3435,1.4567,10.8002,12.801369045,0.834365,0.139103,-6.12,0.9691,4.486
A234_00_P3S_N6C7E,A234,Novichok,target,-9.1562,1.7105,10.8667,9.172774812,0.870068,0.174023,-5.81,0.8712,4.393
A234_01_P3R_N6C7E,A234,Novichok,target,-9.2435,1.5828,10.8263,10.602511393,0.868067,0.173963,-6.41,0.9463,4.731
A234_02_P3S_N6C7Z,A234,Novichok,target,-9.3811,1.4725,10.8536,10.609137435,0.866936,0.148518,-6.64,0.9655,4.473
A234_03_P3R_N6C7Z,A234,Novichok,target,-9.2873,1.6095,10.8968,9.302026759,0.855088,0.146456,-6.53,0.9781,4.82
A242_00_P7R,A242,Novichok,target,-8.7103,1.7758,10.4861,8.106705177,0.804542,0.27944,-6.04,0.941,5.298
A242_01_P7S,A242,Novichok,target,-8.8207,1.8567,10.6774,8.462062625,0.815305,0.277746,-6.08,0.9366,5.193
BSAR_00_P5S,BSAR,G,anchor,-10.9572,3.0309,13.9881,4.288911679,0.87833,0.279403,,,
BSAR_01_P5R,BSAR,G,anchor,,,,,,,,,
GF_00_P1S,GF,G,anchor,-10.415,3.008,13.423,4.282404886,0.861248,0.279704,,,
GF_01_P1R,GF,G,anchor,,,,,,,,,
VR_00_P8S,VR,V,anchor,-8.2007,2.2549,10.4556,4.865223138,0.690093,0.201948,,,
VR_01_P8R,VR,V,anchor,,,,,,,,,
MPXN_00_achiral,MPXN,OP-oxon,experiment,-9.5652,-0.6024,8.9628,7.685305797,0.910319,0.185453,,,
DETAB_00_P3R,DETAB,G,anchor,-9.5511,1.4449,10.996,8.838403988,0.789068,0.310311,,,
DETAB_01_P3S,DETAB,G,anchor,,,,,,,,,
DFP_00_achiral,DFP,OP-oxon,anchor,-11.0267,2.9036,13.9303,2.086178349,0.990674,0.148863,,,
METH_00_P2R,METH,OP-thion,experiment,-9.2208,2.2956,11.5164,3.680612212,0.783846,0.100266,,,
METH_01_P2S,METH,OP-thion,experiment,,,,,,,,,
FEN_00_P3R,FEN,OP-thion,experiment,-8.7261,1.2205,9.9466,5.297539158,0.812877,0.226256,,,
FEN_01_P3S,FEN,OP-thion,experiment,,,,,,,,,
