code,stereo_id,class,role,charge,mult,n_atoms,jobdir,computed
GB,GB_00_P4S,G,anchor,0,1,18,dft/GB/GB_00_P4S,1
GB,GB_01_P4R,G,anchor,0,1,18,dft/GB/GB_01_P4R,1
GD,GD_00_C1S_P3S,G,anchor,0,1,27,dft/GD/GD_00_C1S_P3S,1
GD,GD_01_C1R_P3S,G,anchor,0,1,27,dft/GD/GD_01_C1R_P3S,1
GD,GD_02_C1S_P3R,G,anchor,0,1,27,dft/GD/GD_02_C1S_P3R,1
GD,GD_03_C1R_P3R,G,anchor,0,1,27,dft/GD/GD_03_C1R_P3R,1
GA,GA_00_P3R,G,anchor,0,1,21,dft/GA/GA_00_P3R,1
GA,GA_01_P3S,G,anchor,0,1,21,dft/GA/GA_01_P3S,1
VX,VX_00_P3S,V,anchor,0,1,42,dft/VX/VX_00_P3S,1
VX,VX_01_P3R,V,anchor,0,1,42,dft/VX/VX_01_P3R,1
PARA,PARA_00_achiral,OP-thion,experiment,0,1,32,dft/PARA/PARA_00_achiral,1
PXNE,PXNE_00_achiral,OP-oxon,experiment,0,1,32,dft/PXNE/PXNE_00_achiral,1
CPF,CPF_00_achiral,OP-thion,experiment,0,1,29,dft/CPF/CPF_00_achiral,1
MLT,MLT_00_C6S,OP-thion,experiment,0,1,38,dft/MLT/MLT_00_C6S,1
MLT,MLT_01_C6R,OP-thion,experiment,0,1,38,dft/MLT/MLT_01_C6R,1
DDVP,DDVP_00_achiral,OP-oxon,experiment,0,1,18,dft/DDVP/DDVP_00_achiral,1
A230,A230_00_P8R_C5N7E,Novichok,target,0,1,28,dft/A230/A230_00_P8R_C5N7E,1
A230,A230_01_P8S_C5N7E,Novichok,target,0,1,28,dft/A230/A230_01_P8S_C5N7E,1
A230,A230_02_P8R_C5N7Z,Novichok,target,0,1,28,dft/A230/A230_02_P8R_C5N7Z,1
A230,A230_03_P8S_C5N7Z,Novichok,target,0,1,28,dft/A230/A230_03_P8S_C5N7Z,1
A232,A232_00_P8R_C5N7E,Novichok,target,0,1,29,dft/A232/A232_00_P8R_C5N7E,1
A232,A232_01_P8S_C5N7E,Novichok,target,0,1,29,dft/A232/A232_01_P8S_C5N7E,1
A232,A232_02_P8R_C5N7Z,Novichok,target,0,1,29,dft/A232/A232_02_P8R_C5N7Z,1
A232,A232_03_P8S_C5N7Z,Novichok,target,0,1,29,dft/A232/A232_03_P8S_C5N7Z,1
A234,A234_00_P3S_N6C7E,Novichok,target,0,1,32,dft/A234/A234_00_P3S_N6C7E,1
A234,A234_01_P3R_N6C7E,Novichok,target,0,1,32,dft/A234/A234_01_P3R_N6C7E,1
A234,A234_02_P3S_N6C7Z,Novichok,target,0,1,32,dft/A234/A234_02_P3S_N6C7Z,1
A234,A234_03_P3R_N6C7Z,Novichok,target,0,1,32,dft/A234/A234_03_P3R_N6C7Z,1
A242,A242_00_P7R,Novichok,target,0,1,39,dft/A242/A242_00_P7R,1
A242,A242_01_P7S,Novichok,target,0,1,39,dft/A242/A242_01_P7S,1
BSAR,BSAR_00_P5S,G,anchor,0,1,21,dft/BSAR/BSAR_00_P5S,1
BSAR,BSAR_01_P5R,G,enumerated_not_computed,0,1,21,dft/BSAR/BSAR_01_P5R,0
GF,GF_00_P1S,G,anchor,0,1,25,dft/GF/GF_00_P1S,1
GF,GF_01_P1R,G,enumerated_not_computed,0,1,25,dft/GF/GF_01_P1R,0
VR,VR_00_P8S,V,anchor,0,1,42,dft/VR/VR_00_P8S,1
VR,VR_01_P8R,V,enumerated_not_computed,0,1,42,dft/VR/VR_01_P8R,0
MPXN,MPXN_00_achiral,OP-oxon,experiment,0,1,26,dft/MPXN/MPXN_00_achiral,1
DETAB,DETAB_00_P3R,G,anchor,0,1,27,dft/DETAB/DETAB_00_P3R,1
DETAB,DETAB_01_P3S,G,enumerated_not_computed,0,1,27,dft/DETAB/DETAB_01_P3S,0
DFP,DFP_00_achiral,OP-oxon,anchor,0,1,25,dft/DFP/DFP_00_achiral,1
METH,METH_00_P2R,OP-thion,experiment,0,1,15,dft/METH/METH_00_P2R,1
METH,METH_01_P2S,OP-thion,enumerated_not_computed,0,1,15,dft/METH/METH_01_P2S,0
FEN,FEN_00_P3R,OP-thion,experiment,0,1,41,dft/FEN/FEN_00_P3R,1
FEN,FEN_01_P3S,OP-thion,enumerated_not_computed,0,1,41,dft/FEN/FEN_01_P3S,0
