stereo_id,mode,affinity_kcal_mol,intramol_kcal_mol,CNNpose_score,CNNaffinity
A230_00_P8R_C5N7E,noncovalent,-5.92,0.33,0.9166,4.705
A230_01_P8S_C5N7E,noncovalent,-5.4,0.5,0.8884,4.729
A230_02_P8R_C5N7Z,noncovalent,-5.93,-0.41,0.875,4.577
A230_03_P8S_C5N7Z,noncovalent,-5.59,0.55,0.915,4.214
A232_00_P8R_C5N7E,noncovalent,-5.78,-0.03,0.9426,4.25
A232_01_P8S_C5N7E,noncovalent,-5.98,-0.07,0.9109,4.753
A232_02_P8R_C5N7Z,noncovalent,-6.13,-0.05,0.925,4.667
A232_03_P8S_C5N7Z,noncovalent,-6.12,-0.05,0.9691,4.486
A234_00_P3S_N6C7E,noncovalent,-5.81,0.37,0.8712,4.393
A234_01_P3R_N6C7E,noncovalent,-6.41,0.35,0.9463,4.731
A234_02_P3S_N6C7Z,noncovalent,-6.64,-0.13,0.9655,4.473
A234_03_P3R_N6C7Z,noncovalent,-6.53,0.12,0.9781,4.82
A242_00_P7R,noncovalent,-6.04,-0.18,0.941,5.298
A242_01_P7S,noncovalent,-6.08,0.31,0.9366,5.193
BSAR_00_P5S,noncovalent,-5.08,-0.09,0.8793,3.425
CPF_00_achiral,noncovalent,-6.49,0.26,0.4344,4.64
DDVP_00_achiral,noncovalent,-5.35,-0.15,0.8411,3.709
DETAB_00_P3R,noncovalent,-5.76,-0.22,0.8823,4.228
DFP_00_achiral,noncovalent,-5.53,-0.36,0.816,3.958
FEN_00_P3R,noncovalent,-6.59,1.38,0.8171,5.426
GA_00_P3R,noncovalent,-4.67,-0.06,0.859,3.525
GA_01_P3S,noncovalent,-4.32,-0.12,0.847,3.525
GB_00_P4S,noncovalent,-3.75,0.06,0.81,3.04
GB_01_P4R,noncovalent,-4.57,-0.14,0.8743,3.24
GD_00_C1S_P3S,noncovalent,-6.23,-0.02,0.8505,3.895
GD_01_C1R_P3S,noncovalent,-5.98,0.12,0.7992,3.944
GD_02_C1S_P3R,noncovalent,-5.75,0.08,0.8223,4.045
GD_03_C1R_P3R,noncovalent,-5.45,0.38,0.8171,4.275
GF_00_P1S,noncovalent,-5.54,-0.16,0.7545,3.776
METH_00_P2R,noncovalent,-4.13,-0.0,0.7876,3.966
MLT_00_C6S,noncovalent,-5.95,-0.51,0.5727,4.03
MLT_01_C6R,noncovalent,-6.36,-0.71,0.8429,4.732
MPXN_00_achiral,noncovalent,-7.01,0.68,0.7989,3.865
PARA_00_achiral,noncovalent,-5.95,-0.21,0.7943,4.5
PXNE_00_achiral,noncovalent,-6.3,-0.22,0.7599,3.987
VR_00_P8S,noncovalent,-5.98,-0.45,0.8731,4.333
VX_00_P3S,noncovalent,-6.02,0.16,0.9366,5.089
VX_01_P3R,noncovalent,-5.97,1.28,0.9396,4.96
