stereo_id,code,class,role,noncov,cov,leaving,has_covalent
GB_00_P4S,GB,G,anchor,noncovalent/GB_00_P4S.sdf,covalent/GB_00_P4S.sdf,F,1
GB_01_P4R,GB,G,anchor,noncovalent/GB_01_P4R.sdf,covalent/GB_01_P4R.sdf,F,1
GD_00_C1S_P3S,GD,G,anchor,noncovalent/GD_00_C1S_P3S.sdf,covalent/GD_00_C1S_P3S.sdf,F,1
GD_01_C1R_P3S,GD,G,anchor,noncovalent/GD_01_C1R_P3S.sdf,covalent/GD_01_C1R_P3S.sdf,F,1
GD_02_C1S_P3R,GD,G,anchor,noncovalent/GD_02_C1S_P3R.sdf,covalent/GD_02_C1S_P3R.sdf,F,1
GD_03_C1R_P3R,GD,G,anchor,noncovalent/GD_03_C1R_P3R.sdf,covalent/GD_03_C1R_P3R.sdf,F,1
GA_00_P3R,GA,G,anchor,noncovalent/GA_00_P3R.sdf,covalent/GA_00_P3R.sdf,CN,1
GA_01_P3S,GA,G,anchor,noncovalent/GA_01_P3S.sdf,covalent/GA_01_P3S.sdf,CN,1
VX_00_P3S,VX,V,anchor,noncovalent/VX_00_P3S.sdf,covalent/VX_00_P3S.sdf,S,1
VX_01_P3R,VX,V,anchor,noncovalent/VX_01_P3R.sdf,covalent/VX_01_P3R.sdf,S,1
PARA_00_achiral,PARA,OP-thion,experiment,noncovalent/PARA_00_achiral.sdf,,leaving_not_found,0
PXNE_00_achiral,PXNE,OP-oxon,experiment,noncovalent/PXNE_00_achiral.sdf,covalent/PXNE_00_achiral.sdf,OAr/Ovinyl,1
CPF_00_achiral,CPF,OP-thion,experiment,noncovalent/CPF_00_achiral.sdf,,leaving_not_found,0
MLT_00_C6S,MLT,OP-thion,experiment,noncovalent/MLT_00_C6S.sdf,,leaving_not_found,0
MLT_01_C6R,MLT,OP-thion,experiment,noncovalent/MLT_01_C6R.sdf,,leaving_not_found,0
