stereo_id,pKi,vina_top,cnn_top,near_P_Og_dist,vina_near,cnn_near
VX_00_P3S,8.146,-6.01771,5.0894608498,4.0548164681030885,-6.01771,5.0894608498
VX_01_P3R,6.079,-5.97129,4.9596238136,8.335812610657703,-5.97129,4.9596238136
GB_00_P4S,7.431,-3.74611,3.0404102802,4.104048233147364,-3.74611,3.0404102802
GD_00_C1S_P3S,7.964,-6.23426,3.8949158192,4.137608271695136,-6.23426,3.8949158192
GA_00_P3R,6.869,-4.66641,3.5254313946,6.5415609834350725,-4.66641,3.5254313946
PXNE_00_achiral,6.342,-6.29561,3.9871184826,5.3209774600161595,-6.29561,3.9871184826
BSAR_00_P5S,8.785,-5.07531,3.4246680737,4.19139359402097,-5.07531,3.4246680737
GF_00_P1S,8.69,-5.53687,3.7761690617,4.504552562685888,-5.53687,3.7761690617
VR_00_P8S,8.643,-5.98201,4.3329157829,8.025989277964433,-5.98201,4.3329157829
MPXN_00_achiral,6.079,-7.00689,3.8653736115,3.7258391927188703,-7.00689,3.8653736115
DETAB_00_P3R,5.944,-5.75901,4.2283015251,5.294378423384563,-5.75901,4.2283015251
DFP_00_achiral,5.114,-5.52811,3.958078146,4.218323990638935,-5.52811,3.958078146
METH_00_P2R,3.279,-4.13468,3.9655673504,3.8529570604926286,-4.13468,3.9655673504
FEN_00_P3R,1.301,-6.59443,5.4257678986,3.494975251700648,-6.59443,5.4257678986
