key                   status   DOI / note
----------------------------------------------------------------------------------------------------
Costanzi2018          ok       10.1021/acschemneuro.8b00148
Ganesan2010           ok       10.4103/0975-7406.68498
Sidell1992            ok       10.1016/s0196-0644(05)81036-4
Bajgar2004            ok       10.1016/S0065-2423(04)38006-6
Sussman1991           ok       10.1126/science.1678899
Cheung2012            ok       10.1021/jm300871x
Worek2004             ok       10.1016/j.bcp.2004.07.038
Bester2018            ok       10.1021/acs.chemrestox.8b00294
Benschop1988          ok       10.1021/ar00154a003
Berman1989a           ok       10.1016/S0021-9258(19)84945-1
Berman1989b           ok       10.1016/S0021-9258(19)84944-X
Elhanany2001          ok       10.1021/tx0100542
Barak2000             ok       10.1021/bi992009n
Trott2010             ok       10.1002/jcc.21334
Eberhardt2021         ok       10.1021/acs.jcim.1c00203
McNutt2021            ok       10.1186/s13321-021-00522-2
Neese2012             ok       10.1002/wcms.81
Neese2020             ok       10.1063/5.0004608
Chai2008              ok       10.1039/B810189B
Grimme2010            ok       10.1063/1.3382344
Weigend2005           ok       10.1039/B508541A
Barone1998            ok       10.1021/jp9716997
Siegbahn2011          ok       10.1002/wcms.13
Rogers2010            ok       10.1021/ci100050t
Ertl2000              ok       10.1021/jm000942e
Wildman1999           ok       10.1021/ci990307l
Muratov2020           ok       10.1039/D0CS00098A
Tropsha2010           ok       10.1002/minf.201000061
Sahigara2012          ok       10.3390/molecules17054791
Roy2016               ok       10.1016/j.chemolab.2016.01.008
Breiman2001           ok       10.1023/A:1010933404324
Lundberg2020          ok       10.1038/s42256-019-0138-9
Zang2013              ok       10.1021/ci400527b
Kozinski2023          ok       10.1021/acs.chemrestox.2c00283
Karim2019             ok       10.1021/acsomega.8b03173
Judson2010            ok       10.1289/ehp.0800168
Thomas2019            ok       10.14573/altex.1803011
Richard2016           ok       10.1021/acs.chemrestox.6b00135
Munro1999             ok       10.1289/ehp.99107933
Casida2013            ok       10.1146/annurev-ento-120811-153645
Williams2017          ok       10.1186/s13321-017-0247-6
Kim2022NovichokML     ok       10.1021/acs.chemrestox.1c00410
Gawlikowski2023       ok       10.1007/s10462-023-10562-9
Leng2026              ok       10.1039/d5cp04981d
Scarpino2020          ok       10.2174/1381612824999201105164942
Sotriffer2018         ok       10.1002/minf.201800062
AiSCAR2016            ok       10.1021/acs.jcim.6b00334
Himo2017              ok       10.1021/jacs.7b02671
Himo2022              ok       10.1038/s42004-022-00642-2
Siegbahn2011WIRES     ok       10.1002/wcms.13
Sirin2014             ok       10.1021/jp502712d
Scarpino2018          ok       10.1021/acs.jcim.8b00228
Zhu2014               ok       10.1021/ci500118s
London2014            ok       10.1038/nchembio.1666
Bassani2022           ok       10.3390/ph15020180
Jang2025QSAR          ok       10.1016/j.comtox.2025.100363
Kim2026Colorimetric   ok       10.1016/j.jhazmat.2025.140703
Shin2026Novichok      ok       10.1016/j.snb.2026.139706
Kang2026OOD           ok       10.1016/j.jhazmat.2026.143199
Kim2026Hazard         ok       10.1016/j.ecoenv.2026.120283
----------------------------------------------------------------------------------------------------
total 60  |  ok 60  |  WARN 0  |  FAIL 0
